,Acidaminococcus_fermentans,Actinomyces_odontolyticus,Adlercreutzia_equolifaciens,Akkermansia_muciniphila,Alistipes_finegoldii,Alistipes_shahii,Anaerostipes_hadrus,Bacteroides_cellulosilyticus,Bacteroides_dorei,Bacteroides_fragilis,Bacteroides_ovatus,Bacteroides_thetaiotaomicron,Bacteroides_vulgatus,Bacteroides_xylanisolvens,Bifidobacterium_adolescentis,Bifidobacterium_angulatum,Bifidobacterium_animalis,Bifidobacterium_bifidum,Bifidobacterium_breve,Bifidobacterium_catenulatum,Bifidobacterium_dentium,Bifidobacterium_kashiwanohense,Bifidobacterium_longum,Bifidobacterium_pseudocatenulatum,Blautia_hansenii,Blautia_obeum,Blautia_torques,Clostridioides_difficile,Clostridium_perfringens,Clostridium_sporogenes,Collinsella_aerofaciens,Coprococcus_catus,Desulfovibrio_piger,Eggerthella_lenta,Enterococcus_faecium,Enterococcus_hirae,Erysipelatoclostridium_innocuum,Eubacterium_hallii,Eubacterium_limosum,Faecalibacterium_prausnitzii,Faecalitalea_cylindroides,Finegoldia_magna,Flavonifractor_plautii,Gordonibacter_pamelaeae,Haemophilus_parainfluenzae,Lachnoclostridium_bolteae,Lactobacillus_acidophilus,Lactobacillus_amylovorus,Lactobacillus_delbrueckii,Lactobacillus_fermentum,Lactobacillus_gasseri,Lactobacillus_mucosae,Lactobacillus_paracasei,Lactobacillus_plantarum,Lactobacillus_reuteri,Lactobacillus_rhamnosus,Lactobacillus_ruminis,Lactobacillus_sakei,Lactobacillus_salivarius,Lactococcus_garvieae,Lactococcus_lactis,Leuconostoc_mesenteroides,Methanobrevibacter_smithii,Methanosphaera_stadtmanae,Oxalobacter_formigenes,Pediococcus_pentosaceus,Porphyromonas_asaccharolytica,Prevotella_denticola,Prevotella_enoeca,Prevotella_intermedia,Prevotella_melaninogenica,Prevotella_ruminicola,Propionibacterium_freudenreichii,Ruminococcus_bicirculans,Ruminococcus_champanellensis,Streptococcus_australis,Streptococcus_equinus,Streptococcus_infantarius,Streptococcus_lutetiensis,Streptococcus_mutans,Streptococcus_parasanguinis,Streptococcus_thermophilus,Veillonella_atypica,sample
Bacteroides_fragilis,,,,,1.0012844432304124,,-5.987070952308613e-10,-3.902994103883234e-10,-4.659834679781765e-12,-1.6519471967858097,0.748470843070754,-2.0287927672269578e-09,-5.626013675992999e-10,-6.889841481147487e-11,,,,,,,,,,,,0.0031343185128767104,-5.3286952078956434e-11,,,,,-0.23715303247990582,,,,,,0.1623816905833717,,0.3436507426473998,-8.179393126524174e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.4609533250140427e-11,,,,,,,,,,ERR321172
Bacteroides_xylanisolvens,,,,,0.0008162542666676487,,-1.9982951645956426e-10,-2.93913892350266e-11,4.662315835158542e-12,-0.00044236292186927706,6.310700951260277e-11,-5.46457648322759e-10,-2.7028436020882904e-10,-8.805253383699661e-11,,,,,,,,,,,,0.000487852113923104,-2.4945651655754493e-11,,,,,-0.003431200194164319,,,,,,0.00031177764327572355,,0.0009659543934894543,-1.3234258262286326e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.504348764856678e-11,,,,,,,,,,ERR321172
Coprococcus_catus,,,,,-0.05839926503800896,,-6.332380360135496e-10,-4.768713796112044e-10,-3.0177602578584124e-11,0.007881370618291417,-1.0875178684069881e-10,-2.1494290476500223e-09,-6.056707586355426e-10,-6.987887876071141e-11,,,,,,,,,,,,0.5263524519543159,-1.0329552742999118e-10,,,,,-1.8615262883271293,,,,,,-0.02102676841319351,,0.2901782791035261,-8.545504499953041e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2305661532498722e-10,,,,,,,,,,ERR321172
Bacteroides_cellulosilyticus,,,,,0.015508048025991705,,-6.583788340502472e-10,-5.4909309447429e-10,-4.460319295953811e-11,-0.005034834100686725,-1.3164164566129e-10,-2.2387451263820927e-09,-6.195624179389403e-10,-8.358555097904303e-11,,,,,,,,,,,,-0.0025477899941002136,-1.3742888486729265e-10,,,,,-0.010758790785803996,,,,,,0.00574207644889535,,0.010462875024340512,-8.824171881617399e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5386053003643998e-10,,,,,,,,,,ERR321172
Eubacterium_hallii,,,,,-1.5280346603278425,,-6.22660094972643e-10,-4.4116191392738343e-10,-1.8296544880339723e-11,0.23211495260196613,-8.676630271323449e-11,-2.0540396591903145e-09,-5.954635048696382e-10,-5.649797804944896e-11,,,,,,,,,,,,-1.2305657367247562,-7.96454476003552e-11,,,,,-0.28316899039763443,,,,,,-1.6196784179651649,,-1.9423665838265043,-8.441658934038058e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0699966956909305e-10,,,,,,,,,,ERR321172
Faecalibacterium_prausnitzii,,,,,-1.033129982135665,,-6.625880305913593e-10,-5.36504784393659e-10,-4.860819297198216e-11,0.15612126048296648,-1.4659581574353534e-10,-2.2697564476393336e-09,-6.27402308800446e-10,-8.670659027992022e-11,,,,,,,,,,,,-0.6388316314457043,-1.3945562219411194e-10,,,,,-0.019122228242128392,,,,,,-0.37287911868627144,,-6.437056475367716,-8.82453523247501e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5926426109942827e-10,,,,,,,,,,ERR321172
Bacteroides_ovatus,,,,,0.002721057437081953,,-6.42450146570165e-10,-4.864916567777962e-10,-3.4207650406968685e-11,-0.0009582054832923959,-1.514741472621552e-10,-2.182178170864588e-09,-6.123605180051268e-10,-7.292863474310367e-11,,,,,,,,,,,,-0.00018416119130471031,-1.062852249979442e-10,,,,,-0.0016590943976704242,,,,,,0.0010115366260086134,,0.002011317270768309,-8.634060710086303e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1446122637780147e-10,,,,,,,,,,ERR321172
Blautia_obeum,,,,,1.292682955877713,,-6.382113915565083e-10,-4.17189724154865e-10,-2.9308836631950634e-11,-0.1977183779191729,-8.654021255349948e-11,-1.8364637669328851e-09,-5.450281051905566e-10,-6.229097132723574e-11,,,,,,,,,,,,-4.767696189936247,-7.92177768435398e-11,,,,,1.2214848066972137,,,,,,0.4666696076258725,,2.342437763755414,-7.503080049184187e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0572234446335691e-10,,,,,,,,,,ERR321172
Bacteroides_vulgatus,,,,,0.002257240993523091,,-6.391273218537333e-10,-5.030877330559603e-10,-4.11462897220099e-11,-0.0008405567530822555,-1.2524220710150836e-10,-2.1676449289731558e-09,-6.320054285744583e-10,-7.785128304857341e-11,,,,,,,,,,,,6.702529701918536e-06,-1.2914208717394474e-10,,,,,-0.0017429141569069717,,,,,,0.0008415748444137172,,0.0017749750123119412,-8.437542353745369e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4142380494095397e-10,,,,,,,,,,ERR321172
Bacteroides_thetaiotaomicron,,,,,-0.004595841493933328,,1.6110876725604791e-07,1.4072925241195945e-07,4.358677824434871e-08,0.00033910049509411344,9.79248924259576e-08,-2.300688634767624e-09,1.0994197825154713e-07,3.5450539582018877e-08,,,,,,,,,,,,-0.001435072960748407,4.1280578025127506e-08,,,,,0.001283622411363483,,,,,,-0.0017353420147654397,,-0.004563056145658884,1.9384168667517417e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.534962443180865e-08,,,,,,,,,,ERR321172
Alistipes_finegoldii,,,,,-4.843176195010898,,1.1144063309796746e-08,7.165490292691382e-09,1.8047205461048856e-09,-0.4564838202842958,7.520706565616473e-09,2.6305532173136748e-08,5.241940295001409e-09,2.162211980847688e-09,,,,,,,,,,,,2.187927936035252,1.856395003279989,,,,,-1.6890826586308432,,,,,,2.4626253361117474,,6.571595911503118,7.646666360484853e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.719870827699617e-09,,,,,,,,,,ERR321172
Anaerostipes_hadrus,,,,,-0.009439823488984977,,-6.713975846261146e-10,-1.7516355269633375e-10,2.3917480772538883e-11,0.0007149952430021145,-3.346899469020495e-11,-1.3339415715293929e-09,-4.495509081433934e-10,-4.438756306911894e-11,,,,,,,,,,,,0.009785792159962448,-3.075768051333086e-11,,,,,-0.008130225439647587,,,,,,-0.0033687353340861037,,-0.0008705569574773975,-3.4516839553182217e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.220250726705449e-11,,,,,,,,,,ERR321172
Ruminococcus_bicirculans,,,,,0.0025442841496161606,,-4.917017171693103e-10,-3.7603290929718075e-10,-1.716535108360069e-11,-0.0008589974339403561,-7.815110170404272e-11,-2.0573512820559537e-09,-5.526766365174974e-10,-6.414925904209751e-11,,,,,,,,,,,,-0.00030262675656533844,-6.306003859186012e-11,,,,,-0.0016647728161887088,,,,,,0.0009438326971833444,,0.0017935970688345293,-8.068193702382803e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6191430309275142e-10,,,,,,,,,,ERR321172
